timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_215401,e36f06491e7d169bb0c0426f6aca5ef9853869a9,,1729263545,Fix: TextQueryBackend chained correlation rules,,,3.5340000000000003,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1,0,,,
20260629_215401,48c1716cdc45a67701cc846a4a56ad2b98575f1b,e36f06491e7d169bb0c0426f6aca5ef9853869a9,1729522915,Added new transformation for creating new fields from Hashes field,https://github.com/SigmaHQ/pySigma/compare/e36f06491e7d169bb0c0426f6aca5ef9853869a9...48c1716cdc45a67701cc846a4a56ad2b98575f1b,10.0,97.93,16,BuiltinAllAnalysis:/sigma/processing/pipeline.py:268;BuiltinAllAnalysis:/sigma/processing/pipeline.py:259;BuiltinAllAnalysis:/sigma/filters.py:177;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:469;FileClosedAnalysis:/sigma/processing/resolver.py:63;InvalidComparisonAnalysis:/sigma/types.py:191;StringConcatAnalysis:/sigma/types.py:191;StringConcatAnalysis:/sigma/processing/conditions.py:252;StringConcatAnalysis:/sigma/types.py:144;InvalidComparisonAnalysis:/sigma/processing/conditions.py:252;RandomMustUseSeed:/sigma/filters.py:193;BuiltinAllAnalysis:/sigma/processing/pipeline.py:299;BuiltinAllAnalysis:/sigma/processing/pipeline.py:283;BuiltinAllAnalysis:/sigma/processing/pipeline.py:113;RandomMustUseSeed:/sigma/processing/transformations.py:807,0,,18,BuiltinAllAnalysis:/sigma/processing/pipeline.py:268=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:259=1;BuiltinAllAnalysis:/sigma/filters.py:177=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:469=1;FileClosedAnalysis:/sigma/processing/resolver.py:63=1;InvalidComparisonAnalysis:/sigma/types.py:191=1;StringConcatAnalysis:/sigma/types.py:191=1;StringConcatAnalysis:/sigma/processing/conditions.py:252=1;StringConcatAnalysis:/sigma/types.py:144=1;InvalidComparisonAnalysis:/sigma/processing/conditions.py:252=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;RandomMustUseSeed:/sigma/filters.py:193=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:299=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:283=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:113=1;RandomMustUseSeed:/sigma/processing/transformations.py:807=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1,,1072.0
20260629_215401,e903945c2bd3bd3e531f0198e45510545401c9ff,48c1716cdc45a67701cc846a4a56ad2b98575f1b,1729523543,Black formatting,https://github.com/SigmaHQ/pySigma/compare/48c1716cdc45a67701cc846a4a56ad2b98575f1b...e903945c2bd3bd3e531f0198e45510545401c9ff,2.0,97.93,0,,0,,18,BuiltinAllAnalysis:/sigma/processing/pipeline.py:268=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:259=1;BuiltinAllAnalysis:/sigma/filters.py:177=1;RandomMustUseSeed:/sigma/processing/transformations.py:808=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;FileClosedAnalysis:/sigma/processing/resolver.py:63=1;InvalidComparisonAnalysis:/sigma/types.py:191=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:469=1;StringConcatAnalysis:/sigma/types.py:191=1;StringConcatAnalysis:/sigma/processing/conditions.py:252=1;StringConcatAnalysis:/sigma/types.py:144=1;InvalidComparisonAnalysis:/sigma/processing/conditions.py:252=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;RandomMustUseSeed:/sigma/filters.py:193=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:299=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:283=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:113=1,18,BuiltinAllAnalysis:/sigma/processing/pipeline.py:268=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:259=1;BuiltinAllAnalysis:/sigma/filters.py:177=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:469=1;FileClosedAnalysis:/sigma/processing/resolver.py:63=1;InvalidComparisonAnalysis:/sigma/types.py:191=1;StringConcatAnalysis:/sigma/types.py:191=1;StringConcatAnalysis:/sigma/processing/conditions.py:252=1;StringConcatAnalysis:/sigma/types.py:144=1;InvalidComparisonAnalysis:/sigma/processing/conditions.py:252=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;RandomMustUseSeed:/sigma/filters.py:193=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:299=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:283=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:113=1;RandomMustUseSeed:/sigma/processing/transformations.py:807=1,RandomMustUseSeed:/sigma/processing/transformations.py:808<=RandomMustUseSeed:/sigma/processing/transformations.py:807,120.0
20260629_215401,7d6bb40a065d3892c06b9bfaf62c0e73647e8413,e903945c2bd3bd3e531f0198e45510545401c9ff,1729527241,Converted HashesFieldsDetectionItemTransformation to dataclass,https://github.com/SigmaHQ/pySigma/compare/e903945c2bd3bd3e531f0198e45510545401c9ff...7d6bb40a065d3892c06b9bfaf62c0e73647e8413,1.0,97.93,0,,0,,18,BuiltinAllAnalysis:/sigma/processing/pipeline.py:268=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:259=1;BuiltinAllAnalysis:/sigma/filters.py:177=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/sigma/processing/transformations.py:799=1;FileClosedAnalysis:/sigma/processing/resolver.py:63=1;InvalidComparisonAnalysis:/sigma/types.py:191=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:469=1;StringConcatAnalysis:/sigma/types.py:191=1;StringConcatAnalysis:/sigma/processing/conditions.py:252=1;StringConcatAnalysis:/sigma/types.py:144=1;InvalidComparisonAnalysis:/sigma/processing/conditions.py:252=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;RandomMustUseSeed:/sigma/filters.py:193=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:299=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:283=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:113=1,18,BuiltinAllAnalysis:/sigma/processing/pipeline.py:268=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:259=1;BuiltinAllAnalysis:/sigma/filters.py:177=1;RandomMustUseSeed:/sigma/processing/transformations.py:808=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;FileClosedAnalysis:/sigma/processing/resolver.py:63=1;InvalidComparisonAnalysis:/sigma/types.py:191=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:469=1;StringConcatAnalysis:/sigma/types.py:191=1;StringConcatAnalysis:/sigma/processing/conditions.py:252=1;StringConcatAnalysis:/sigma/types.py:144=1;InvalidComparisonAnalysis:/sigma/processing/conditions.py:252=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;RandomMustUseSeed:/sigma/filters.py:193=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:299=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:283=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:113=1,RandomMustUseSeed:/sigma/processing/transformations.py:799<=RandomMustUseSeed:/sigma/processing/transformations.py:808,21.0
20260629_215401,272ab952ac1ca9b699d01f632da209e0303670a9,7d6bb40a065d3892c06b9bfaf62c0e73647e8413,1729693174,Pass backend options to pipeline,https://github.com/SigmaHQ/pySigma/compare/7d6bb40a065d3892c06b9bfaf62c0e73647e8413...272ab952ac1ca9b699d01f632da209e0303670a9,4.0,97.93,0,,0,,18,BuiltinAllAnalysis:/sigma/processing/pipeline.py:268=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:259=1;BuiltinAllAnalysis:/sigma/filters.py:177=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/sigma/processing/transformations.py:799=1;FileClosedAnalysis:/sigma/processing/resolver.py:63=1;InvalidComparisonAnalysis:/sigma/types.py:191=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:469=1;StringConcatAnalysis:/sigma/types.py:191=1;StringConcatAnalysis:/sigma/processing/conditions.py:252=1;StringConcatAnalysis:/sigma/types.py:144=1;InvalidComparisonAnalysis:/sigma/processing/conditions.py:252=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;RandomMustUseSeed:/sigma/filters.py:193=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:299=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:283=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:113=1,18,BuiltinAllAnalysis:/sigma/processing/pipeline.py:268=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:259=1;BuiltinAllAnalysis:/sigma/filters.py:177=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/sigma/processing/transformations.py:799=1;FileClosedAnalysis:/sigma/processing/resolver.py:63=1;InvalidComparisonAnalysis:/sigma/types.py:191=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:469=1;StringConcatAnalysis:/sigma/types.py:191=1;StringConcatAnalysis:/sigma/processing/conditions.py:252=1;StringConcatAnalysis:/sigma/types.py:144=1;InvalidComparisonAnalysis:/sigma/processing/conditions.py:252=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;RandomMustUseSeed:/sigma/filters.py:193=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:299=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:283=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:113=1,,44.0
20260629_215401,935f976337102f557372be80ee6240cf76c1259d,272ab952ac1ca9b699d01f632da209e0303670a9,1729813850,Fixed chaining of correlation rules,https://github.com/SigmaHQ/pySigma/compare/272ab952ac1ca9b699d01f632da209e0303670a9...935f976337102f557372be80ee6240cf76c1259d,1.0,97.93,0,,0,,18,BuiltinAllAnalysis:/sigma/processing/pipeline.py:268=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:259=1;BuiltinAllAnalysis:/sigma/filters.py:177=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/sigma/processing/transformations.py:799=1;FileClosedAnalysis:/sigma/processing/resolver.py:63=1;InvalidComparisonAnalysis:/sigma/types.py:191=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:469=1;StringConcatAnalysis:/sigma/types.py:191=1;StringConcatAnalysis:/sigma/processing/conditions.py:252=1;StringConcatAnalysis:/sigma/types.py:144=1;InvalidComparisonAnalysis:/sigma/processing/conditions.py:252=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;RandomMustUseSeed:/sigma/filters.py:193=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:299=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:283=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:113=1,18,BuiltinAllAnalysis:/sigma/processing/pipeline.py:268=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:259=1;BuiltinAllAnalysis:/sigma/filters.py:177=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/sigma/processing/transformations.py:799=1;FileClosedAnalysis:/sigma/processing/resolver.py:63=1;InvalidComparisonAnalysis:/sigma/types.py:191=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:469=1;StringConcatAnalysis:/sigma/types.py:191=1;StringConcatAnalysis:/sigma/processing/conditions.py:252=1;StringConcatAnalysis:/sigma/types.py:144=1;InvalidComparisonAnalysis:/sigma/processing/conditions.py:252=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;RandomMustUseSeed:/sigma/filters.py:193=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:299=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:283=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:113=1,,12.0
20260629_215401,cc82ea9d5179d743597c552d5857ca61ecc9da72,935f976337102f557372be80ee6240cf76c1259d,1729869913,Added tests for conditions in post-processing items,https://github.com/SigmaHQ/pySigma/compare/935f976337102f557372be80ee6240cf76c1259d...cc82ea9d5179d743597c552d5857ca61ecc9da72,1.0,97.96,0,,0,,18,BuiltinAllAnalysis:/sigma/processing/pipeline.py:268=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:259=1;BuiltinAllAnalysis:/sigma/filters.py:177=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/sigma/processing/transformations.py:799=1;FileClosedAnalysis:/sigma/processing/resolver.py:63=1;InvalidComparisonAnalysis:/sigma/types.py:191=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:469=1;StringConcatAnalysis:/sigma/types.py:191=1;StringConcatAnalysis:/sigma/processing/conditions.py:252=1;StringConcatAnalysis:/sigma/types.py:144=1;InvalidComparisonAnalysis:/sigma/processing/conditions.py:252=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;RandomMustUseSeed:/sigma/filters.py:193=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:299=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:283=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:113=1,18,BuiltinAllAnalysis:/sigma/processing/pipeline.py:268=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:259=1;BuiltinAllAnalysis:/sigma/filters.py:177=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/sigma/processing/transformations.py:799=1;FileClosedAnalysis:/sigma/processing/resolver.py:63=1;InvalidComparisonAnalysis:/sigma/types.py:191=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:469=1;StringConcatAnalysis:/sigma/types.py:191=1;StringConcatAnalysis:/sigma/processing/conditions.py:252=1;StringConcatAnalysis:/sigma/types.py:144=1;InvalidComparisonAnalysis:/sigma/processing/conditions.py:252=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;RandomMustUseSeed:/sigma/filters.py:193=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:299=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:283=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:113=1,,28.0
20260629_215401,9debf09eb4484ad29a14ef8180c60c98a2f6a15c,cc82ea9d5179d743597c552d5857ca61ecc9da72,1729870282,Moved CompareOperators out from SigmaCompareExpression,https://github.com/SigmaHQ/pySigma/compare/cc82ea9d5179d743597c552d5857ca61ecc9da72...9debf09eb4484ad29a14ef8180c60c98a2f6a15c,6.0,97.96,0,,0,,18,BuiltinAllAnalysis:/sigma/processing/pipeline.py:268=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:259=1;BuiltinAllAnalysis:/sigma/filters.py:177=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/sigma/processing/transformations.py:799=1;FileClosedAnalysis:/sigma/processing/resolver.py:63=1;InvalidComparisonAnalysis:/sigma/types.py:191=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:469=1;StringConcatAnalysis:/sigma/types.py:191=1;StringConcatAnalysis:/sigma/processing/conditions.py:252=1;StringConcatAnalysis:/sigma/types.py:144=1;InvalidComparisonAnalysis:/sigma/processing/conditions.py:252=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;RandomMustUseSeed:/sigma/filters.py:193=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:299=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:283=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:113=1,18,BuiltinAllAnalysis:/sigma/processing/pipeline.py:268=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:259=1;BuiltinAllAnalysis:/sigma/filters.py:177=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/sigma/processing/transformations.py:799=1;FileClosedAnalysis:/sigma/processing/resolver.py:63=1;InvalidComparisonAnalysis:/sigma/types.py:191=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:469=1;StringConcatAnalysis:/sigma/types.py:191=1;StringConcatAnalysis:/sigma/processing/conditions.py:252=1;StringConcatAnalysis:/sigma/types.py:144=1;InvalidComparisonAnalysis:/sigma/processing/conditions.py:252=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;RandomMustUseSeed:/sigma/filters.py:193=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:299=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:283=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:113=1,InvalidComparisonAnalysis:/sigma/types.py:191<=InvalidComparisonAnalysis:/sigma/types.py:191;StringConcatAnalysis:/sigma/types.py:191<=StringConcatAnalysis:/sigma/types.py:191;StringConcatAnalysis:/sigma/types.py:144<=StringConcatAnalysis:/sigma/types.py:144,65.0
20260629_215402,039de5455f295981f86f673e131656ac918a9c42,9debf09eb4484ad29a14ef8180c60c98a2f6a15c,1729900515,Fixed transformation tests and issues,https://github.com/SigmaHQ/pySigma/compare/9debf09eb4484ad29a14ef8180c60c98a2f6a15c...039de5455f295981f86f673e131656ac918a9c42,15.0,97.98,1,RandomMustUseSeed:/sigma/processing/transformations/condition.py:38,1,RandomMustUseSeed:/sigma/processing/transformations.py:799,18,BuiltinAllAnalysis:/sigma/processing/pipeline.py:284=1;StringConcatAnalysis:/sigma/processing/conditions.py:252=1;BuiltinAllAnalysis:/sigma/filters.py:177=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:260=1;FileClosedAnalysis:/sigma/processing/resolver.py:63=1;InvalidComparisonAnalysis:/sigma/types.py:191=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:269=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:469=1;StringConcatAnalysis:/sigma/types.py:191=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:114=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:300=1;RandomMustUseSeed:/sigma/processing/transformations/condition.py:38=1;StringConcatAnalysis:/sigma/types.py:144=1;InvalidComparisonAnalysis:/sigma/processing/conditions.py:252=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;RandomMustUseSeed:/sigma/filters.py:193=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,18,BuiltinAllAnalysis:/sigma/processing/pipeline.py:268=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:259=1;BuiltinAllAnalysis:/sigma/filters.py:177=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/sigma/processing/transformations.py:799=1;FileClosedAnalysis:/sigma/processing/resolver.py:63=1;InvalidComparisonAnalysis:/sigma/types.py:191=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:469=1;StringConcatAnalysis:/sigma/types.py:191=1;StringConcatAnalysis:/sigma/processing/conditions.py:252=1;StringConcatAnalysis:/sigma/types.py:144=1;InvalidComparisonAnalysis:/sigma/processing/conditions.py:252=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;RandomMustUseSeed:/sigma/filters.py:193=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:299=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:283=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:113=1,BuiltinAllAnalysis:/sigma/processing/pipeline.py:284<=BuiltinAllAnalysis:/sigma/processing/pipeline.py:283;BuiltinAllAnalysis:/sigma/processing/pipeline.py:260<=BuiltinAllAnalysis:/sigma/processing/pipeline.py:259;BuiltinAllAnalysis:/sigma/processing/pipeline.py:269<=BuiltinAllAnalysis:/sigma/processing/pipeline.py:268;BuiltinAllAnalysis:/sigma/processing/pipeline.py:114<=BuiltinAllAnalysis:/sigma/processing/pipeline.py:113;BuiltinAllAnalysis:/sigma/processing/pipeline.py:300<=BuiltinAllAnalysis:/sigma/processing/pipeline.py:299,2687.0
20260629_215402,c610069f9b71683ded18fe9b7ae8c1cd2edc6f47,039de5455f295981f86f673e131656ac918a9c42,1730153052,Fixed condition imports,https://github.com/SigmaHQ/pySigma/compare/039de5455f295981f86f673e131656ac918a9c42...c610069f9b71683ded18fe9b7ae8c1cd2edc6f47,7.0,97.98,2,StringConcatAnalysis:/sigma/processing/conditions/rule.py:95;InvalidComparisonAnalysis:/sigma/processing/conditions/rule.py:95,2,StringConcatAnalysis:/sigma/processing/conditions.py:252;InvalidComparisonAnalysis:/sigma/processing/conditions.py:252,18,BuiltinAllAnalysis:/sigma/processing/pipeline.py:284=1;BuiltinAllAnalysis:/sigma/filters.py:177=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:260=1;FileClosedAnalysis:/sigma/processing/resolver.py:63=1;InvalidComparisonAnalysis:/sigma/types.py:191=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:269=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:469=1;StringConcatAnalysis:/sigma/types.py:191=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:114=1;StringConcatAnalysis:/sigma/processing/conditions/rule.py:95=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:300=1;RandomMustUseSeed:/sigma/processing/transformations/condition.py:38=1;StringConcatAnalysis:/sigma/types.py:144=1;InvalidComparisonAnalysis:/sigma/processing/conditions/rule.py:95=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;RandomMustUseSeed:/sigma/filters.py:193=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,18,BuiltinAllAnalysis:/sigma/processing/pipeline.py:284=1;StringConcatAnalysis:/sigma/processing/conditions.py:252=1;BuiltinAllAnalysis:/sigma/filters.py:177=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:260=1;FileClosedAnalysis:/sigma/processing/resolver.py:63=1;InvalidComparisonAnalysis:/sigma/types.py:191=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:269=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:469=1;StringConcatAnalysis:/sigma/types.py:191=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:114=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:300=1;RandomMustUseSeed:/sigma/processing/transformations/condition.py:38=1;StringConcatAnalysis:/sigma/types.py:144=1;InvalidComparisonAnalysis:/sigma/processing/conditions.py:252=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;RandomMustUseSeed:/sigma/filters.py:193=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,1438.0
